PC1,PC2,Cluster
15.369798129378983,-2.3853341629124443,1
5.164374387822571,-0.37134084378630855,0
13.897640603371384,-5.2270740559116815,0
8.962987021373783,-5.664595502135637,1
15.195270550722359,-3.387325612838298,0
14.64012200139158,-3.6967864551783793,1
15.151606222511338,-3.146146078237671,0
15.147778782621291,-3.696545687659396,0
12.630451449935839,-6.433154025396726,1
14.50716478167232,-0.9618899697736277,0
12.498996691825342,-1.3096581203891902,1
-0.9166661848581533,6.275779439680311,1
11.011057100024946,-3.6585072607406204,0
9.415829314381602,-4.7429141278147595,0
11.423583517387785,-3.6547759076583626,0
15.618106913902519,-4.381332926569368,0
13.574622937736748,-2.856259316081238,0
14.017892432020796,-4.2172268016257455,1
9.82599908532661,0.8630764778717246,1
12.50536514302084,-6.879812620246474,0
15.959434357488233,-3.016664026466383,0
15.224131995497068,-2.1292837708770915,1
6.045188247073628,-8.78306008429264,0
5.958779446306638,6.3689791200565935,1
13.522185596629408,-0.7908894539995215,1
15.3380109746902,-2.679665702818304,0
14.307975325396852,-2.73791859813877,1
12.060790471289328,-1.5068780630611507,1
13.068238412210771,-3.5463755133542834,1
13.623518793735366,-4.054247157460352,1
10.141876482848373,0.5197770545080825,1
14.231969146815006,-5.626448295211471,1
1.429041763097145,1.8343209316874798,0
3.1733028294621404,0.6094725301335616,1
13.996239295940144,0.41322242954271127,0
2.0760812726265336,1.2879509399837832,1
5.318164946256138,-10.077505726777527,0
-0.18577165741777144,-1.8950270626378078,1
1.202397294315569,-8.426061319982809,0
12.881796997592048,0.6219116357091078,1
7.629331789947763,2.088164845246876,1
10.025437569813722,0.7838399571278228,0
6.416456725123037,0.7254725436293217,0
2.7679829304383605,-6.861236853244628,0
7.369669722987756,-2.733916493381675,1
-3.284994987677015,1.6618701377169276,1
16.07815859388825,-2.3577883702654585,0
-7.0842394502701325,-2.6037043037573198,1
-0.07964906099387224,-3.2625194277919656,0
6.423179136162599,-0.5489419987274226,0
-2.4015974082485623,5.438337545060559,1
3.0346601712235297,6.1075245747230325,1
13.267117902415203,-5.426391235340814,0
10.758359351665941,-0.2605356234226395,0
3.9321580576813813,0.422699226536303,1
14.527291169079701,-0.977162026211191,0
4.582870046063813,-5.809731892338577,0
2.3864277597434613,1.384013846048758,1
-3.137275825868412,-0.14670186349960385,0
-5.812216538911612,-1.885480578113056,0
-10.45121953943501,-4.269901640894353,1
13.726144207656139,-4.394899471671411,1
13.19995800689303,-1.841826184750108,0
1.9983706485839436,-0.15675365430193547,1
5.8716263333264465,-4.682861491622961,0
-3.0593088080429096,5.683588099962928,1
4.992825089230742,-2.1479869274659964,0
-3.1136228812065276,2.2786508892543766,1
3.43601830002704,-6.048062518210578,1
-2.000664763019335,4.253456585757633,1
12.426816337463475,-1.740900290389441,0
4.5721572338356635,6.018161026057403,1
13.358488494939197,-1.9670186052090082,0
3.6434835454967165,-0.8489150565867275,1
2.3804042517252184,1.373474078842709,1
0.25256759917483873,5.067166494378178,1
11.358694283545756,-2.2133127260269747,0
6.073439245541771,-1.2770522945301874,1
0.6947037003979326,5.519174725630118,1
1.6130493319929984,1.4797935959585713,1
1.6214622016710805,-2.9442451684527646,1
-1.7852042006191826,4.893911379647023,1
3.267097749867981,-0.40852802745079025,1
3.9871759604901555,1.4839636242476066,1
2.9655752683283603,0.107458681578249,1
2.6952845765849056,3.361920320661589,1
-2.3743242851134707,0.5058623262923462,1
-0.7196198921012227,-2.6183610657245673,0
1.9165089564312685,2.740007482432873,1
-1.7520298906125935,3.1733637165012722,1
-4.64259987667667,0.9477984649953602,1
-3.9313658969567635,1.7967570213589885,1
1.9994866590699276,2.8303819809594257,1
-3.461841517682834,0.8695210311422349,1
-0.375747546213359,0.05203603228444048,0
-0.5075428776493955,4.9225951364517,1
1.1929494159794332,5.417179721382021,1
0.17521052598076267,0.7626619682909623,1
-0.15560783455983887,5.998156026023183,0
-1.1162925892748075,4.83332759203496,1
-1.9714733423713928,5.42888702324977,1
14.376703307453711,-4.3766032396996195,1
-6.342158112860707,-1.8383759044938235,1
-4.9939316283023505,0.36918423387523003,1
3.7685499219879155,-1.5204988453435906,0
-8.24495726504168,-5.614362887427299,1
-1.6709511325723148,4.693736827679582,1
2.824662153062055,-2.7679504094143264,1
-1.038975530661019,0.9955395441548506,1
3.061079461792397,-2.948399848968491,1
-0.730636173487952,2.851089404107376,1
-2.2550456389598748,2.347660221582763,1
-2.2250181287784736,6.458303339453041,1
1.1985507966167206,5.756930721953435,1
-9.302222822793029,-6.533335745590557,1
-2.5170060391872546,4.800745281512772,1
-2.1930474132732387,3.4359212691953385,1
-3.2265939828176484,2.0584913449953834,1
-7.644141572130641,-3.0892156705437204,0
-2.867305809560814,3.260342040059064,1
-3.85081906726578,2.073409439322477,1
-5.302325919268327,-4.1304384212187575,0
2.992222339128673,-1.1087136521570193,0
-1.7392587798969468,1.2064616333401303,0
-1.225245806272726,7.550194931838294,1
-8.223137446012213,-3.2502203182063325,1
-8.147031241301256,-5.115193693267867,0
-1.480746866602975,-0.39272609528177604,1
6.320025831381731,-3.2784835902522427,1
6.3196199946045954,-3.2814034390985682,1
-7.589948429001483,-2.4973015543026102,1
6.32058151488473,-3.2744856484032847,1
-1.6874218780685732,3.810168632435076,0
-5.426816467693526,3.0401177672413415,1
-5.994759407791753,-1.0773577375153307,1
-3.794935401706091,2.549058137980206,1
-2.9911302249273266,7.62122527282621,1
-3.722703965580273,3.3921787066275124,1
-2.7898407301929526,3.5160519949864026,1
-2.5795303844239443,3.1014250244520505,1
-7.736091636917676,-4.080983748042854,0
6.319054807471345,-3.2854697561303206,1
